city,year,min_mag,max_mag,frequency,population
bucloc,2022,1.4,2.4,15,2670
bucloc,2023,1.5,2.3,5,2692
bucloc,2024,1.4,1.9,4,2714
bucloc,2025,1.8,2.3,2,2734
buenavista,2020,1.9,3.8,30,30998
buenavista,2021,2.0,2.7,40,31143
buenavista,2022,2.0,3.7,45,31272
buenavista,2023,1.8,2.8,30,31385
buenavista,2024,1.4,2.3,30,31484
buenavista,2025,1.5,2.9,60,31566
bugallon,2020,3.0,3.0,1,69881
bugallon,2022,1.6,3.4,2,70646
bugallon,2023,3.4,3.4,1,70971
bugallon,2024,2.0,2.4,2,71258
bugallon,2025,1.9,1.9,1,71506
bugasong,2021,3.2,4.5,3,34777
bugasong,2022,2.6,2.6,1,34901
bugasong,2023,2.8,2.8,1,35005
bugasong,2024,2.3,2.3,1,35090
bugasong,2025,2.2,2.2,1,35155
buguey,2023,3.0,3.3,2,32764
buguey,2024,2.1,2.1,1,33005
buguey,2025,1.7,1.9,2,33227
buguias,2021,2.5,2.5,1,47608
buguias,2022,1.9,3.1,9,48166
buguias,2023,1.8,3.1,6,48692
buguias,2025,2.2,2.2,1,49645
buhi,2020,2.4,2.4,1,79690
buhi,2021,2.4,2.4,1,80074
buhi,2022,2.0,2.0,1,80414
buhi,2023,2.0,3.0,2,80707
buhi,2024,2.0,2.6,3,80957
buhi,2025,1.4,2.4,8,81160
bula,2020,2.0,2.5,2,71549
bula,2021,1.7,1.7,1,71858
bula,2022,1.2,2.2,3,72126
bula,2024,1.7,2.9,3,72543
bula,2025,1.7,2.0,2,72690
bulan,2020,1.7,2.3,3,106213
buldon,2020,2.0,2.8,4,36201
buldon,2021,2.0,3.3,11,36333
buldon,2022,1.8,3.3,8,36446
buldon,2023,1.4,2.7,11,36538
buldon,2024,1.5,2.3,7,36611
buldon,2025,1.6,3.0,9,36664
buluan,2020,1.5,2.8,9,57898
bulusan,2021,2.1,2.8,2,23797
bulusan,2022,3.5,3.5,1,23894
bulusan,2024,1.5,3.1,2,24042
bumbaran,2020,1.9,2.8,10,12066
bunawan,2020,2.2,2.9,7,52270
bunawan,2021,1.7,3.3,17,53751
bunawan,2022,1.9,3.2,13,55244
bunawan,2023,1.2,3.1,31,56747
bunawan,2024,1.3,3.8,42,58266
bunawan,2025,1.5,4.4,47,59791
burauen,2020,3.2,3.6,3,55937
burauen,2021,2.1,3.2,5,56610
burauen,2022,1.4,5.3,62,57289
burauen,2023,1.8,2.1,3,57975
burauen,2024,1.9,2.5,5,58668
burauen,2025,1.5,3.1,15,59366
burdeos,2020,1.3,3.8,34,29431
burdeos,2021,1.9,3.1,15,29919
burdeos,2022,1.5,3.2,30,30391
burdeos,2023,1.6,4.0,19,30845
burdeos,2024,1.8,3.9,31,31283
burdeos,2025,1.6,3.9,15,31702
burgos,2020,1.4,5.3,1980,9948
burgos,2021,1.5,5.3,4680,9970
burgos,2022,1.5,5.1,2142,9987
burgos,2023,1.4,5.1,2478,10000
burgos,2024,1.2,4.9,2142,10009
burgos,2025,1.4,5.1,2292,10013
buruanga,2023,2.7,2.7,1,21338
buruanga,2024,1.8,1.8,1,21577
busuanga,2020,1.8,2.6,5,23180
busuanga,2021,1.8,2.4,9,23333
busuanga,2022,1.6,3.1,6,23460
busuanga,2023,2.1,3.2,5,23561
busuanga,2024,1.7,3.4,5,23638
busuanga,2025,2.0,3.2,13,23689
butig,2020,2.2,3.0,4,21846
butig,2021,1.9,2.5,7,22405
butig,2022,2.4,2.4,1,22978
butig,2024,1.9,3.1,7,24170
butig,2025,2.2,2.2,1,24787
buug,2023,1.5,1.5,1,38100
buug,2024,1.5,1.5,1,38146
caba,2020,2.4,2.4,1,22698
caba,2023,2.2,2.3,3,22933
caba,2024,2.3,2.3,1,22984
caba,2025,2.1,2.2,2,23020
cabagan,2023,2.2,2.2,1,56282
cabangan,2020,1.5,4.7,20,27164
cabangan,2021,1.7,3.4,20,27502
cabangan,2022,1.5,5.0,34,27816
cabangan,2023,1.3,4.6,38,28108
cabangan,2024,1.1,4.5,29,28378
cabangan,2025,1.4,5.0,29,28624
cabanglasan,2020,2.8,3.4,2,35124
cabanglasan,2021,2.1,4.1,8,35277
cabanglasan,2022,2.9,2.9,1,35404
cabanglasan,2023,1.6,2.8,4,35504
cabanglasan,2024,1.5,3.4,8,35579
cabanglasan,2025,1.7,1.7,1,35627
cabatuan,2024,2.8,2.8,2,41966
cabucgayan,2020,2.2,2.6,2,21498
cabucgayan,2023,1.8,1.8,1,21808
cabucgayan,2024,1.6,1.7,2,21890
cabucgayan,2025,1.7,2.0,3,21962
cabugao,2020,2.0,2.9,6,38806
cabugao,2021,2.0,2.8,4,39021
cabugao,2022,1.4,2.8,14,39218
cabugao,2023,1.5,2.5,5,39399
cabugao,2024,1.5,3.4,7,39562
cabugao,2025,1.8,2.9,9,39709
cabusao,2021,2.3,2.3,1,19040
cabusao,2024,1.6,1.6,1,19222
cabusao,2025,1.5,2.5,3,19261
cagayancillo,2020,3.3,3.3,1,6586
cagayancillo,2021,2.7,2.9,2,6625
cagayancillo,2022,2.6,4.7,3,6657
cagayancillo,2023,2.2,3.9,6,6681
cagayancillo,2024,1.7,4.2,16,6698
cagayancillo,2025,2.0,3.1,3,6708
cagdianao,2020,1.8,4.2,7,17945
cagdianao,2021,1.8,3.0,8,18139
cagdianao,2022,1.6,4.4,10,18321
cagdianao,2023,1.4,3.0,18,18490
cagdianao,2024,1.6,4.0,21,18648
cagdianao,2025,1.4,2.4,25,18794
cagwait,2020,1.6,4.4,61,21461
cagwait,2021,1.7,3.9,55,21643
cagwait,2022,1.6,5.6,128,21813
cagwait,2023,1.3,6.8,865,21971
cagwait,2024,1.3,5.4,469,22117
cagwait,2025,1.2,6.0,392,22249
caibiran,2021,2.1,2.1,1,23155
caibiran,2023,2.7,2.7,1,23276
caibiran,2025,1.7,2.0,4,23352
cajidiocan,2020,2.3,2.3,1,22429
calabanga,2020,2.0,2.0,1,86885
calabanga,2021,2.8,2.8,1,87532
calabanga,2022,2.6,2.6,1,88132
calabanga,2023,1.5,4.5,5,88685
calabanga,2024,2.7,2.7,1,89193
calabanga,2025,1.6,2.3,2,89653
calaca,2020,1.4,4.1,87,93814
calaca,2021,1.9,2.9,3,96386
calaca,2022,1.7,1.7,1,99009
calamba,2020,1.2,2.8,2,22200
calape,2021,1.6,2.0,3,31500
calape,2022,1.7,2.0,2,31592
calape,2023,1.8,2.1,2,31679
calape,2024,1.5,3.1,4,31763
calape,2025,1.2,1.5,2,31842
calasiao,2022,1.6,1.6,1,99342
calasiao,2023,1.8,2.5,2,99731
calasiao,2025,2.2,2.2,1,100344
calatagan,2020,1.3,6.3,393,60763
calatagan,2021,1.5,6.6,706,61636
calatagan,2022,1.2,6.1,586,62510
calatagan,2023,1.2,6.3,530,63384
calatagan,2024,1.2,4.6,378,64261
calatagan,2025,1.2,5.5,492,65135
calatrava,2021,2.7,2.7,2,82165
calatrava,2022,2.1,2.3,8,82306
calatrava,2023,2.2,3.5,6,82412
calatrava,2024,2.2,2.8,6,82483
calatrava,2025,1.9,1.9,2,82518
calauag,2021,2.0,3.1,2,77626
calauag,2023,1.8,2.4,2,78790
calayan,2020,1.4,5.4,210,17265
calayan,2021,2.0,3.8,62,17345
calayan,2022,1.5,4.3,80,17413
calayan,2023,1.5,4.5,48,17470
calayan,2024,1.5,4.2,34,17515
calayan,2025,1.4,5.5,43,17549
calbayog city,2020,1.8,2.9,4,192056
calbiga,2020,3.2,3.2,1,24180
calbiga,2021,2.0,2.0,2,24388
calbiga,2022,2.6,2.6,1,24584
calbiga,2023,1.7,5.2,2,24768
calbiga,2024,1.5,1.8,2,24940
calbiga,2025,2.0,2.0,2,25101
calinog,2025,1.9,2.2,2,70752
calintaan,2020,1.7,5.1,11,30740
calintaan,2021,1.7,3.1,15,30870
calintaan,2022,1.5,3.1,11,30980
calintaan,2023,1.4,2.9,11,31071
calintaan,2024,1.5,3.3,18,31143
calintaan,2025,1.4,4.0,16,31196
calubian,2021,1.9,3.2,10,32648
calubian,2022,2.1,3.0,5,32892
calubian,2023,1.9,3.2,3,33137
calubian,2024,1.7,2.9,5,33384
calubian,2025,1.6,4.7,8,33630
caluya,2020,3.4,3.4,1,41075
caluya,2022,1.6,3.1,9,43401
caluya,2023,1.4,3.6,12,44576
caluya,2024,1.3,3.6,8,45763
caluya,2025,1.4,3.2,21,46956
camalaniugan,2024,1.6,1.6,1,27432
camalig,2025,2.8,2.8,1,72375
camaligan,2023,1.6,2.3,2,26361
camaligan,2024,3.5,3.5,1,26591
camiling,2020,3.1,4.6,2,86185
camiling,2022,2.5,4.1,2,87307
can-avid,2020,3.9,3.9,1,22099
can-avid,2021,1.7,1.7,1,22326
can-avid,2024,2.3,2.7,4,23021
can-avid,2025,2.7,3.9,2,23256
canaman,2021,1.6,4.3,26,35854
canaman,2022,2.3,3.1,5,36064
canaman,2024,3.0,3.0,1,36427
canaman,2025,1.8,2.6,2,36578
candelaria,2020,1.6,3.3,46,29232
candelaria,2021,1.5,3.1,66,29578
candelaria,2022,1.3,3.5,88,29899
candelaria,2023,1.3,3.6,78,30196
candelaria,2024,1.3,3.7,68,30470
candelaria,2025,1.2,3.0,64,30718
candijay,2020,2.1,2.1,1,29799
candijay,2021,2.0,2.0,2,29861
candijay,2022,2.0,2.0,1,29922
candoni,2020,1.7,3.3,21,22171
candoni,2021,1.5,2.7,7,22222
candoni,2022,1.5,3.0,16,22263
candoni,2023,1.8,2.2,3,22294
candoni,2024,2.0,2.4,6,22316
candoni,2025,1.1,5.5,10,22328
cantilan,2020,1.8,2.2,4,32304
cantilan,2021,2.0,2.7,5,32407
cantilan,2022,2.1,3.1,9,32490
cantilan,2023,1.4,2.9,15,32553
cantilan,2024,1.4,3.5,27,32594
cantilan,2025,1.6,3.2,11,32615
caoayan,2020,2.3,2.9,5,20924
caoayan,2021,1.9,4.0,20,21117
caoayan,2022,1.6,3.5,26,21301
caoayan,2023,1.6,3.7,19,21477
caoayan,2024,1.9,4.2,30,21646
caoayan,2025,1.6,3.0,23,21806
capalonga,2020,1.6,1.8,2,33699
capalonga,2021,2.0,2.0,1,33933
capalonga,2025,1.6,1.6,1,34643
capas,2023,1.6,1.7,2,162173
capas,2024,1.5,2.4,2,164171
capas,2025,2.7,2.7,1,165988
capoocan,2020,1.4,4.5,45,37125
capoocan,2021,1.5,3.7,46,37881
capoocan,2022,1.6,4.3,34,38650
capoocan,2023,1.6,4.6,39,39434
capoocan,2024,1.5,3.9,36,40234
capoocan,2025,1.5,3.3,45,41046
capul,2020,1.5,1.9,4,13014
caraga,2020,2.0,3.7,52,43844
caraga,2021,1.6,4.6,35,44470
caraga,2022,1.8,4.6,37,45070
caraga,2023,1.5,3.7,50,45644
caraga,2024,1.6,3.8,54,46194
caraga,2025,1.4,5.1,70,46716
caramoan,2020,2.2,3.3,5,49680
caramoan,2021,1.9,3.0,6,50023
caramoan,2022,1.7,2.7,4,50338
caramoan,2023,1.7,1.9,4,50627
caramoan,2024,1.5,4.3,9,50889
caramoan,2025,1.7,2.6,4,51123
caramoran,2020,2.0,2.0,1,31540
caramoran,2021,2.4,2.4,1,31803
caramoran,2022,2.1,3.3,3,32052
caramoran,2023,1.8,4.1,3,32288
caramoran,2024,1.5,3.8,3,32512
caramoran,2025,1.5,2.6,8,32721
carasi,2020,1.3,4.3,26,1644
carasi,2021,1.5,3.7,13,1658
carasi,2022,1.3,4.5,32,1672
carasi,2023,1.5,3.2,23,1684
carasi,2024,1.5,3.5,36,1696
carasi,2025,1.4,3.8,25,1708
cardona,2021,1.9,1.9,1,49814
carigara,2020,2.4,2.4,1,54599
carigara,2024,1.7,1.7,1,57379
carigara,2025,2.4,2.4,1,58090
carmen,2020,1.4,2.9,108,48431
carmen,2021,1.7,3.1,174,48781
carmen,2022,1.8,3.4,102,49104
carmen,2023,1.5,3.1,132,49400
carmen,2024,1.3,3.5,168,49669
carmen,2025,1.4,2.7,162,49911
carranglan,2021,1.7,4.7,10,46212
carranglan,2022,1.8,1.8,1,47129
carranglan,2023,1.7,3.0,3,48064
carranglan,2025,1.8,1.8,1,49986
carrascal,2020,1.7,3.4,22,28715
carrascal,2021,1.8,4.1,28,29936
carrascal,2022,1.4,3.4,18,31143
carrascal,2023,1.4,3.3,32,32335
carrascal,2024,1.5,4.3,27,33515
carrascal,2025,1.4,3.7,24,34677
casiguran,2020,1.4,3.9,64,24761
casiguran,2021,1.4,3.5,90,24819
casiguran,2022,1.5,3.9,94,24866
casiguran,2023,1.5,4.1,94,24902
casiguran,2024,1.3,4.0,88,24928
casiguran,2025,1.6,4.0,70,24942
castilla,2020,2.1,2.1,1,62819
castilla,2021,1.7,1.7,1,63742
castilla,2022,2.3,2.3,1,64635
castilla,2023,1.6,1.6,1,65497
castilla,2024,1.2,2.1,6,66331
castillejos,2020,1.8,2.6,8,84174
castillejos,2021,1.9,2.0,2,87970
castillejos,2022,1.8,2.6,4,91725
castillejos,2023,2.0,3.0,2,95439
castillejos,2024,1.6,2.8,2,99121
castillejos,2025,1.2,2.2,2,102752
cataingan,2020,1.7,6.6,383,51397
cataingan,2021,1.8,4.0,19,51534
cataingan,2022,2.6,3.3,3,51644
cataingan,2024,2.4,2.6,3,51782
cataingan,2025,1.9,2.4,5,51811
catanauan,2020,1.9,1.9,1,76332
catanauan,2021,2.0,2.2,2,77260
catanauan,2023,2.1,3.8,5,78982
catanauan,2024,1.6,3.8,5,79778
catarman,2020,1.5,3.1,12,17172
catarman,2021,2.0,5.0,15,17223
catarman,2022,1.9,4.0,7,17266
catarman,2023,1.9,2.8,7,17299
catarman,2024,1.5,3.1,13,17326
catarman,2025,1.4,2.7,15,17343
cateel,2020,1.5,4.2,81,42726
cateel,2021,1.7,4.8,48,43041
cateel,2022,1.7,3.7,34,43324
cateel,2023,1.5,3.7,45,43576
cateel,2024,1.3,4.7,161,43796
cateel,2025,1.3,5.0,155,43984
catigbian,2020,1.8,3.2,12,22791
catigbian,2021,1.8,4.2,8,22819
catigbian,2022,2.1,2.9,8,22848
catigbian,2023,1.5,2.8,6,22878
catigbian,2024,1.8,3.1,5,22910
catigbian,2025,1.4,2.5,5,22943
catmon,2021,1.7,2.7,2,32863
catmon,2022,1.8,1.8,1,33186
catmon,2024,1.8,2.0,2,33761
catmon,2025,1.6,2.7,8,34013
catubig,2021,2.5,2.5,1,34137
catubig,2022,2.6,3.0,2,34255
catubig,2024,2.1,2.1,1,34429
catubig,2025,2.1,2.1,1,34485
cauayan,2020,1.6,3.9,32,105601
cauayan,2021,1.7,3.0,26,106177
cauayan,2022,1.7,3.5,18,106710
cauayan,2023,1.6,3.7,11,107201
cauayan,2024,1.6,3.1,18,107651
cauayan,2025,1.4,2.7,14,108057
cavinti,2020,2.1,2.1,1,22356
cawayan,2024,1.7,1.7,1,71513
cawayan,2025,1.5,1.5,1,71845
cervantes,2020,2.1,2.1,2,17623
cervantes,2021,2.1,2.6,2,17683
cervantes,2022,1.4,2.9,15,17734
cervantes,2023,2.2,2.7,2,17778
cervantes,2024,4.7,4.7,1,17813
cervantes,2025,1.9,2.2,6,17840
city of alaminos,2020,2.1,3.6,3,93657
city of alaminos,2021,1.8,3.7,8,94312
city of alaminos,2022,1.6,2.8,7,94918
city of alaminos,2023,1.6,2.9,11,95473
city of alaminos,2024,1.9,2.4,3,95980
city of alaminos,2025,1.9,2.5,3,96436
city of antipolo,2021,2.3,2.3,1,857793
city of antipolo,2022,1.6,1.6,1,866490
city of bago,2020,1.7,1.7,1,175879
city of bago,2024,2.4,2.4,1,178590
city of bago,2025,1.9,2.5,4,179086
city of bais,2020,2.9,2.9,1,77840
city of bais,2021,1.9,2.7,2,78058
city of bais,2024,1.7,2.4,6,78514
city of bais,2025,4.1,4.1,1,78601
city of batac,2021,2.3,2.3,1,56389
city of batac,2022,1.8,3.6,5,56504
city of batac,2023,2.2,2.3,4,56595
city of batac,2024,1.8,3.6,4,56661
city of batac,2025,2.1,3.0,3,56702
city of baybay,2020,2.4,2.4,1,114541
city of baybay,2021,1.7,2.8,2,115604
city of baybay,2023,2.1,2.1,1,117748
city of baybay,2024,1.7,2.2,3,118832
city of baybay,2025,1.7,1.7,1,119919
city of bayugan,2020,2.0,2.7,4,105424
city of bayugan,2021,1.6,3.7,25,105699
city of bayugan,2022,1.6,2.9,12,105913
city of bayugan,2023,1.5,3.4,18,106066
city of bayugan,2024,1.3,3.8,13,106158
city of bayugan,2025,2.0,3.2,12,106189
city of bislig,2020,1.9,2.0,2,93924
city of bislig,2021,1.9,2.7,11,93800
city of bislig,2022,1.8,3.8,20,93676
city of bislig,2023,1.2,3.9,28,93553
city of bislig,2024,1.3,3.6,65,93429
city of bislig,2025,1.3,3.4,32,93307
city of bogo,2020,2.0,2.0,1,86370
city of bogo,2021,2.3,2.5,2,87915
city of bogo,2024,1.7,2.7,2,92288
city of bogo,2025,1.0,6.9,3237,93656
city of cabadbaran,2021,2.0,2.7,6,77792
city of cabadbaran,2022,2.2,3.3,4,78304
city of cabadbaran,2023,1.5,3.9,13,78760
city of cabadbaran,2024,1.9,2.6,5,79163
city of cabadbaran,2025,1.5,3.2,5,79510
city of cadiz,2021,1.8,2.5,3,157795
city of cadiz,2022,2.0,2.0,1,158085
city of cadiz,2023,1.9,2.7,3,158308
city of cadiz,2024,2.4,2.4,1,158464
city of cadiz,2025,1.6,2.8,2,158552
city of calamba,2024,1.1,1.1,1,544370
city of candon,2020,2.3,2.8,8,62567
city of candon,2021,1.8,3.8,40,62880
city of candon,2022,1.7,5.1,35,63164
city of candon,2023,1.8,3.5,22,63421
city of candon,2024,1.7,4.8,24,63651
city of candon,2025,1.6,3.6,17,63852
city of canlaon,2021,1.5,2.8,10,57582
city of canlaon,2022,1.6,2.9,5,58029
city of canlaon,2023,2.1,4.2,7,58456
city of canlaon,2024,1.3,3.7,59,58864
city of canlaon,2025,1.0,3.7,70,59250
city of carcar,2020,1.8,2.7,2,132032
city of carcar,2023,1.8,1.8,1,138743
city of carcar,2024,1.7,1.7,1,140846
city of carcar,2025,1.6,1.6,1,142873
city of cauayan,2021,2.7,2.7,1,136139
city of cauayan,2023,1.5,2.1,2,137711
city of cauayan,2024,1.8,1.8,1,138374
city of el salvador,2021,1.8,3.1,3,55545
city of el salvador,2022,2.5,2.7,2,56316
city of el salvador,2025,1.7,2.2,3,58397
city of escalante,2025,2.3,3.4,6,98683
city of guihulngan,2020,2.0,3.2,5,97467
city of guihulngan,2021,1.7,3.2,14,97649
city of guihulngan,2022,1.5,2.8,12,97789
city of guihulngan,2023,1.7,3.1,12,97887
city of guihulngan,2024,1.4,3.1,4,97944
city of guihulngan,2025,2.0,3.1,4,97959
city of himamaylan,2022,2.1,2.8,2,109343
city of himamaylan,2023,2.0,2.2,2,109517
city of isabela,2023,1.5,1.5,1,135305
city of kabankalan,2020,2.8,2.8,1,193314
city of kabankalan,2021,2.6,2.6,1,195447
city of kabankalan,2023,1.7,2.2,3,199534
city of kabankalan,2024,2.1,2.1,1,201494
city of kabankalan,2025,1.8,1.9,2,203389
city of la carlota,2020,1.5,2.1,2,65692
city of la carlota,2021,1.9,3.2,3,65859
city of la carlota,2022,2.0,2.0,1,65999
city of la carlota,2024,1.4,1.4,1,66195
city of la carlota,2025,1.8,3.0,4,66250
city of lamitan,2021,2.7,2.7,1,80501
city of lamitan,2023,2.0,2.0,1,82432
city of ligao,2021,3.1,3.1,1,118918
city of ligao,2022,2.9,2.9,1,119942
city of ligao,2024,2.1,2.1,1,121783
city of naga,2021,2.9,2.9,1,133178
city of naga,2022,2.6,2.6,1,135957
city of naga,2023,1.7,1.7,1,138688
city of panabo,2020,2.6,2.6,1,189127
city of panabo,2021,2.0,3.7,15,189814
city of panabo,2022,1.9,4.0,10,190419
city of panabo,2023,1.6,3.2,9,190939
city of panabo,2024,1.7,4.0,23,191377
city of panabo,2025,1.8,3.1,13,191729
city of pasig,2021,1.1,1.1,1,852178
city of passi,2021,2.4,2.9,2,83131
city of passi,2023,2.1,2.6,4,83688
city of passi,2024,1.5,1.8,2,83863
city of passi,2025,1.5,1.5,1,83966
city of sagay,2021,2.0,2.0,1,149598
city of sagay,2025,1.7,2.1,2,150608
city of san carlos,2020,3.0,3.0,1,134689
city of san carlos,2021,2.1,3.8,2,134959
city of san carlos,2022,2.0,2.8,2,135172
city of san carlos,2023,1.7,1.7,1,135327
city of san carlos,2024,2.4,2.9,2,135425
city of san carlos,2025,1.8,1.8,1,135464
city of santa rosa,2022,3.2,3.2,1,437051
city of santiago,2021,1.9,3.3,3,139158
city of silay,2020,1.8,2.6,4,130606
city of silay,2021,2.1,2.4,4,131198
city of silay,2022,1.7,2.4,4,131736
city of silay,2023,2.2,2.2,1,132220
city of silay,2024,2.3,2.9,2,132652
city of silay,2025,1.0,2.2,5,133029
city of sipalay,2020,1.8,3.6,44,71491
city of sipalay,2021,1.5,4.6,170,71692
city of sipalay,2022,1.8,4.1,61,71863
city of sipalay,2023,1.5,4.7,79,72003
city of sipalay,2024,1.4,4.3,134,72113
city of sipalay,2025,1.4,5.1,120,72193
city of tabaco,2025,2.0,2.0,1,149538
city of tacurong,2020,2.1,2.1,1,104368
city of tacurong,2021,2.3,2.3,1,105443
city of tacurong,2024,2.1,2.1,1,108334
city of talisay,2021,2.0,2.4,10,105488
city of talisay,2023,1.6,2.1,4,106255
city of talisay,2024,1.6,2.4,6,106575
city of talisay,2025,1.9,2.1,8,106850
city of tanjay,2022,4.0,4.0,1,82049
city of valencia,2021,2.3,2.4,3,201736
city of valencia,2023,1.7,2.6,3,203538
city of valencia,2024,2.1,3.2,3,204221
city of valencia,2025,2.0,2.0,1,204756
city of victorias,2020,2.4,2.7,2,89787
city of victorias,2022,1.7,2.3,3,90283
city of victorias,2023,1.7,3.0,3,90474
city of victorias,2024,1.3,1.8,2,90627
city of victorias,2025,1.3,3.0,5,90742
clarin,2020,1.8,1.8,2,20405
clarin,2021,2.1,2.6,4,20430
clarin,2023,2.5,3.2,4,20482
clarin,2025,1.6,2.0,4,20541
claver,2020,1.6,3.9,22,44013
claver,2021,1.5,3.7,16,46739
claver,2022,1.5,3.3,17,49614
claver,2023,1.5,4.0,16,52637
claver,2024,1.5,4.1,15,55819
claver,2025,1.4,3.8,16,59140
claveria,2020,1.3,4.9,171,30765
claveria,2021,1.9,4.8,84,30874
claveria,2022,1.4,4.0,123,30962
claveria,2023,1.4,4.4,138,31030
claveria,2024,1.2,4.3,300,31077
claveria,2025,1.3,4.9,237,31102
columbio,2020,1.6,4.5,230,38585
columbio,2021,1.7,4.8,36,39690
columbio,2022,1.7,3.7,15,40802
columbio,2023,1.7,2.8,7,41920
columbio,2024,1.7,2.8,13,43049
columbio,2025,1.9,2.4,6,44180
compostela,2020,2.1,3.2,16,52888
compostela,2021,1.6,3.1,26,53723
compostela,2022,1.9,2.8,12,54496
compostela,2023,1.4,6.0,204,55210
compostela,2024,1.4,3.4,80,55864
compostela,2025,1.3,3.2,40,56456
concepcion,2020,1.9,3.8,20,169002
concepcion,2022,1.8,2.8,12,173845
concepcion,2023,1.4,2.8,36,176014
concepcion,2024,1.9,2.6,16,178023
concepcion,2025,1.4,3.9,24,179856
conner,2020,1.6,2.1,3,26760
conner,2021,1.8,3.6,10,26867
conner,2022,1.5,2.7,7,26961
conner,2023,1.4,2.3,5,27042
conner,2024,1.5,2.8,9,27111
conner,2025,1.6,2.5,5,27166
consolacion,2025,2.4,2.4,1,180219
corcuera,2021,1.5,3.8,3,10639
corcuera,2022,1.9,2.4,3,10688
corcuera,2023,1.8,2.3,3,10735
corcuera,2024,2.0,2.0,1,10779
corcuera,2025,1.8,1.8,1,10820
cordon,2020,1.5,1.5,1,44474
cordon,2021,2.5,4.2,3,44705
cordon,2022,2.0,2.0,1,44907
cordon,2025,1.5,2.0,2,45344
cordova,2025,1.3,1.3,1,76721
corella,2023,1.8,1.8,1,9388
corella,2024,1.5,1.5,1,9465
corella,2025,2.3,2.3,1,9533
coron,2020,1.5,2.8,3,59574
coron,2021,1.5,2.9,14,61062
coron,2022,1.5,2.8,15,62516
coron,2023,2.0,3.7,5,63939
coron,2024,1.5,4.1,18,65333
coron,2025,1.5,2.8,15,66690
cortes,2020,1.4,5.0,460,18297
cortes,2021,1.5,4.5,370,18515
cortes,2022,1.5,5.3,442,18716
cortes,2023,1.4,4.6,654,18899
cortes,2024,1.4,4.3,608,19064
cortes,2025,1.3,4.0,516,19210
cotabato city,2020,2.0,6.4,4,309498
cuenca,2020,1.4,3.8,24,34188
cuenca,2025,1.7,1.7,1,35487
culaba,2020,1.8,2.3,2,12555
culaba,2025,1.6,3.0,2,12631
culasi,2023,2.7,3.0,2,43650
culasi,2024,2.4,3.4,4,43852
culasi,2025,3.1,3.3,2,44030
currimao,2020,1.9,3.7,16,12419
currimao,2021,1.9,3.5,21,12451
currimao,2022,1.7,4.0,37,12477
currimao,2023,1.6,3.6,32,12498
currimao,2024,1.5,4.8,33,12513
currimao,2025,1.5,4.8,30,12523
cuyapo,2020,2.7,2.7,1,70866
cuyapo,2023,2.0,3.1,5,74667
cuyapo,2024,1.8,1.8,1,75979
cuyapo,2025,1.9,3.1,4,77309
cuyo,2025,2.3,2.3,1,24992
daanbantayan,2025,1.4,3.1,9,102914
dagami,2024,2.3,2.9,3,41391
dagohoy,2020,1.5,2.7,5,19375
dagohoy,2021,1.7,3.0,7,19417
dagohoy,2022,2.0,2.0,1,19457
dagohoy,2023,1.4,2.0,2,19497
dagohoy,2024,1.3,2.5,6,19536
dagohoy,2025,2.2,2.3,2,19575
daguioman,2020,2.0,3.4,3,2259
daguioman,2021,2.1,3.3,4,2293
daguioman,2022,1.5,2.4,24,2328
daguioman,2023,1.8,2.4,5,2361
daguioman,2024,1.9,2.9,3,2395
daguioman,2025,1.9,1.9,1,2428
dalaguete,2020,1.5,2.8,11,71489
dalaguete,2021,1.9,2.6,4,72140
dalaguete,2022,1.8,3.8,6,72737
dalaguete,2023,1.4,2.3,4,73281
dalaguete,2024,1.7,1.9,4,73772
dalaguete,2025,2.1,2.3,2,74207
damulog,2020,2.1,2.3,3,34915
damulog,2022,2.1,2.9,2,36780
damulog,2023,2.0,2.6,5,37710
damulog,2024,1.4,3.6,9,38641
damulog,2025,2.0,3.5,6,39568
danao,2020,1.3,3.7,22,17982
danao,2021,1.7,3.6,17,18003
danao,2022,1.4,2.6,15,18026
danao,2023,1.5,3.5,7,18050
danao,2024,1.7,4.0,9,18075
danao,2025,1.4,2.8,7,18101
danao city,2021,1.6,1.6,1,157763
danao city,2023,1.8,1.8,1,164552
dangcagan,2020,2.1,2.7,2,24525
dangcagan,2024,2.1,2.7,2,24856
danglas,2020,2.2,2.6,2,4222
danglas,2021,2.2,2.6,4,4224
danglas,2022,1.3,3.8,78,4224
danglas,2023,1.4,3.2,14,4224
danglas,2024,1.3,3.8,27,4222
danglas,2025,1.2,3.4,38,4219
dao,2022,2.3,2.3,1,33303
dapa,2020,1.6,5.0,12,24392
dapa,2021,1.7,3.1,35,24504
dapa,2022,1.5,2.7,12,24612
dapa,2023,1.5,3.2,34,24716
dapa,2024,1.4,3.7,31,24816
dapa,2025,1.4,4.5,28,24913
dapitan city,2020,2.2,2.2,1,85194
daram,2025,1.8,1.8,1,44366
dasol,2020,1.8,3.1,6,31023
dasol,2021,1.4,2.6,9,31370
dasol,2022,1.7,3.3,8,31703
dasol,2023,1.4,2.6,14,32022
dasol,2024,1.6,2.6,10,32328
dasol,2025,1.5,2.9,5,32618
datu abdullah sangki,2024,2.4,2.4,1,27952
datu abdullah sangki,2025,1.5,1.5,1,28376
datu anggal midtimbang,2024,2.2,2.2,1,37099
datu anggal midtimbang,2025,1.6,1.6,2,38665
